APOGEE_ID,GLON,GLAT,RA,DEC,VHELIO_AVG,LOGG,TEFF,PMRA,PMDEC,AL_H,NA_H,O_H,MG_H,C_H,N_H,V_H,TI_H,CA_H,FE_H,K_H,MN_H,NI_H,SI_H,S_H,SNR,cluster_name,label
2M11502506+1912394,239.190050129,73.9155673449,177.604435,19.210957,6.919069767,3.93878758757,5010.6449426,0.0,0.0,-0.234210886438,-0.189266849634,-0.346891975016,-0.0500471071446,-0.232432777836,-0.838375034227,-0.448163678239,-0.494384347867,-0.347784428069,-0.4277464982,-0.459298862673,-0.548774224947,-0.565700594884,-0.326051484636,-0.316873988016,78.4075012207,background,-1
2M11505056-1427109,281.610466309,45.8950711669,177.710689,-14.453032,38.6463012695,3.41721692253,5001.74418035,-15.3000001907,2.09999990463,0.0537751796678,-0.0737409636349,-0.00729415263811,-0.0127394003713,0.0455617991856,-0.118218885506,0.104473869383,0.0254533778439,-0.117606246381,0.00117101910447,-0.062172838982,0.0917150782081,-0.000880661181489,0.145970079218,0.0421138726623,290.037994385,background,-1
2M11511486-1216066,280.659371356,47.9832043539,177.81193,-12.268518,50.5429992676,3.63517836205,4966.71111007,-41.0,1.39999997616,0.282870991602,0.0860691116381,0.220707451808,0.23059365663,0.213772718178,0.139978881488,0.305605129295,0.238634190384,0.0915781135378,0.155948730911,0.0322612980465,0.281145980282,0.153238443473,0.329960400083,0.206498422317,410.562011719,background,-1
2M11512479+0019503,272.187033168,59.5706455817,177.853329582,0.330653979962,21.3780002594,3.82234422043,5667.60632036,-27.1000003815,5.40000009537,-0.192968797265,-0.294481325439,-0.197303571809,-0.146549486499,-0.00312621914262,-0.454115625248,-0.101461851203,-0.38053463992,-0.275642862772,-0.22883513517,-0.33734033739,-0.13249271801,-0.241466425226,-0.165978584176,0.066816444775,204.675994873,background,-1
2M11512836+0150132,270.804491558,60.9117746102,177.868181,1.837001,-3.85209989548,3.49494461498,4496.71715303,3.09999990463,-17.8999996185,-0.202645857122,-0.035457390551,-0.150544299199,-0.108484534142,-0.277048189123,-0.232699139991,-0.428208368449,-0.292975683899,-0.146389957276,-0.2874850551,-0.34859918627,-0.280037750819,-0.375512468271,-0.295276273232,-0.0774015245631,153.386001587,background,-1
2M11522361+1929186,239.241172287,74.4578488546,178.098406,19.488527,-23.3339996338,4.32899630131,5882.66468905,-16.0,28.0,-0.784857414418,-0.3990292316,-0.801469053463,-0.68122461597,-0.405214183499,-0.46442273441,-0.681901978255,-0.753587906499,-0.822795575328,-0.82311136638,-0.84485887119,-0.592609998373,-0.717293980517,-0.77856813039,-0.40054399666,111.116996765,background,-1
2M11522570+0158119,271.109735058,61.1416314846,178.107091,1.969974,139.964004517,2.54135923438,4832.92869167,5.19999980927,-21.3999996185,-0.0854123021983,-0.626879604377,-0.149867619367,-0.266381459338,-0.316430423529,-0.52384847403,-0.355771950169,-0.428596902984,-0.390676400371,-0.471739375597,-0.360962314625,-0.509124672148,-0.418151951395,-0.0884506557665,-0.165787608691,226.365997314,background,-1
2M11525321+5548453,139.146325148,59.4343668741,178.221741,55.812592,-137.761001587,0.352191598024,4003.4975282,-2.29999995232,-5.69999980927,-1.74162478733,-2.29939192587,-1.23042561503,-1.47828232146,-1.9829065608,-1.08424015296,-1.96747688311,-1.61643834427,-1.3434317254,-1.57805181179,-1.79813389516,-1.89965740821,-1.71277795263,-1.2115434727,-1.24608412798,1230.18005371,background,-1
2M11533649-0022488,273.772126883,59.1775950584,178.402071,-0.38024,304.110992432,1.62034391183,4615.95583483,-0.699999988079,-1.89999997616,-1.99606297389,-1.67476752787,-1.46410998664,-1.67943330379,-2.04355321993,-1.42806454748,-2.00120460925,-1.74996583612,-1.59373603671,-1.77380380527,-1.78051479217,-1.82695306387,-1.83478014908,-1.47183072561,-1.30082230332,86.8911972046,background,-1
2M11533838+5535285,139.151164056,59.6797772936,178.409935,55.591263,28.952999115,2.2456612637,4664.04529171,-14.1000003815,6.90000009537,-0.448358612808,-0.822501541299,-0.43365307674,-0.558545964165,-0.624350474122,-0.793755422224,-1.02625484481,-0.638509417071,-0.623566661324,-0.755357083891,-0.696295609962,-0.889753836875,-0.764410862918,-0.390550672678,-0.43105919035,477.50100708,background,-1
2M11535599+1912341,240.859628507,74.6111779311,178.483317,19.209496,8.43264961243,2.9352010943,4821.70305791,-7.90000009537,-1.20000004768,-0.350431575738,-0.463034021708,-0.371196613721,-0.366782691296,-0.534151087501,-0.776898421296,-0.583120083301,-0.658754610924,-0.494830155877,-0.603160343344,-0.643103828311,-0.715114961838,-0.714029929415,-0.241060394607,-0.235519087417,192.160003662,background,-1
2M11541830-1116404,281.212916499,49.1694294342,178.576286,-11.277892,231.391998291,1.24082251197,4388.27932738,-10.1999998093,-17.7999992371,-1.75604793435,-1.84879987943,-1.25196194882,-1.45512593805,-1.89212504478,-1.28620822341,-1.96826004217,-1.56916338059,-1.37169847024,-1.57161283588,-1.63256955485,-1.75322108951,-1.65719632262,-1.18468093269,-1.15071112624,352.179992676,background,-1
2M11561829+1858024,242.827427364,74.9360583915,179.076229,18.96734,9.09197044373,3.62569164123,4791.41649397,32.0,-16.0,-0.227257399601,-0.232558327098,-0.487938179176,-0.256059228257,-0.554726102219,-0.870064958232,-0.391308610114,-0.415104542844,-0.528251210003,-0.668565619086,-0.617783683831,-0.714803359015,-0.863397799368,-0.447537519934,-0.246621894119,150.197006226,background,-1
2M11563583+3436288,177.098017102,76.0769432702,179.149301,34.608002,118.583999634,0.885196137877,4059.18683841,-0.800000011921,-1.70000004768,-1.34834651629,-1.76494168058,-0.872659504275,-1.1291320306,-1.50105187721,-0.979593778732,-1.31412084431,-1.20730372926,-0.967253706157,-1.15393048107,-1.2212612542,-1.46130464457,-1.30784471714,-0.72503342764,-0.781060120104,207.231994629,background,-1
2M11563595-1053169,281.831252638,49.7236313618,179.149799,-10.888034,100.002998352,0.721311182175,3937.20681296,6.0,0.0,-0.918365940749,-1.22313576429,-0.738902723888,-0.819226827569,-1.02377379589,-0.690501569644,-1.27368298096,-1.06114235448,-0.875995764675,-0.93440139615,-0.952071556481,-1.11987590702,-1.02951866858,-0.650352370332,-0.750382400512,539.854003906,background,-1
2M11574404+1642176,250.16170907,73.781030415,179.433516,16.70491,3.17426991463,2.63794363352,4868.03135439,-6.19999980927,-6.40000009537,-0.109228674757,-0.360992628472,-0.171698465681,-0.296794925579,-0.292114632087,-0.500001659144,-0.503879759979,-0.306922367225,-0.375928805459,-0.464395998578,-0.35651951008,-0.528144767688,-0.429650845027,-0.105297147679,-0.064635233364,156.223999023,background,-1
2M11582263+1645270,250.395116607,73.9302336736,179.594292,16.757513,90.5438995361,2.55667687825,4612.0749249,-8.89999961853,-13.3999996185,-0.108210050597,-0.477987667987,-0.213318751453,-0.240626637992,-0.317877380196,-0.625148839276,-0.31556559238,-0.383868150985,-0.37902070468,-0.479869104171,-0.322728522155,-0.559057691318,-0.44711810773,-0.120021265212,-0.139700483703,156.535003662,background,-1
2M11590564+1833531,245.611306902,75.2266517851,179.773522,18.564758,-2.69863009453,3.01482039664,4848.37649601,-50.5999984741,-3.29999995232,-0.224310340372,-0.280943615086,-0.257809453806,-0.327093629209,-0.487842445072,-0.657623694921,-0.408690191902,-0.452410387461,-0.488753958343,-0.522531463154,-0.58273122325,-0.691498707141,-0.551906348437,-0.172514585514,-0.195482949904,317.335998535,background,-1
2M11591343-1620229,285.170906685,44.7237956535,179.805992,-16.339712,164.292007446,2.43610154041,4737.03000219,-12.1999998093,-2.29999995232,-0.940395152749,-1.06761907974,-0.77852760514,-0.835594836826,-0.975452223377,-1.19746767896,-1.45399263605,-1.09052062507,-0.832361690258,-0.984778741348,-1.00701963232,-1.12008758526,-0.999826356098,-0.654279868779,-0.600566164692,91.1519012451,background,-1
2M12004713-1737467,286.167590654,43.5870960939,180.196409,-17.62965,223.662002563,1.72267802724,4645.49370896,-25.3999996185,-2.0,-2.03870405574,-1.64758769137,-1.45825458056,-1.6266262733,-1.97072518712,-1.52731157556,-2.12239236926,-1.70688253763,-1.57023893781,-1.77245625393,-1.7142091106,-1.88598485097,-1.85498343299,-1.44068697239,-1.29142538797,301.781005859,background,-1
2M12014792-1612439,285.958911043,45.0173192482,180.449667,-16.212208,53.1688995361,3.28747783623,4977.82685764,-0.20000000298,-22.5,-0.118866434474,-0.32100094698,-0.201216723681,-0.20033388044,-0.227812915042,-0.427880997721,-0.260912511656,-0.283600766755,-0.298367548805,-0.299667847726,-0.319335422257,-0.286975186099,-0.347784237707,-0.161852585173,-0.165242795072,305.980010986,background,-1
2M12023645+1545245,255.548861045,73.945884263,180.651895,15.756812,69.2636032104,2.7362916304,4780.92338953,-4.0,-6.90000009537,-0.0171896794474,-0.666033120518,-0.191255220382,-0.251802740573,-0.369322626311,-0.544690533581,-0.413163472236,-0.401413520729,-0.411928100207,-0.426912697387,-0.832115880245,-0.509965907911,-0.593964144605,-0.0899050659887,-0.0929630624675,82.2296981812,background,-1
2M12032993+1544564,256.141070828,74.0853833326,180.874725,15.749002,24.8824996948,2.0682053154,4456.97087619,-3.70000004768,-10.3999996185,-0.196554701219,-0.732569699342,-0.292965506351,-0.354682242379,-0.508783031976,-0.625738686317,-0.670615862772,-0.566889377676,-0.422853794596,-0.554382078545,-0.597612354044,-0.702062155975,-0.596008361323,-0.180629344577,-0.195909473278,205.929992676,background,-1
2M12042441-1654324,287.065878814,44.5089623762,181.101720626,-16.9090098402,-8.83108043671,3.51786504867,5617.06267037,-22.7999992371,16.7999992371,-0.693246629744,-0.555426218522,-0.55697105853,-0.465029297665,-0.36014012381,-0.723156924015,-0.523668397406,-0.782190934171,-0.765336126137,-0.67984046459,-1.00367039078,-0.550933315821,-0.639198066785,-0.454960625956,-0.418470131187,342.442993164,background,-1
